sport_key,commence_time,home_team,away_team,bookmaker,market_type,selection_name,decimal_odds
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Rayo Vallecano,2.1
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,William Hill,H2H,Draw,3.0
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Espanyol,3.75
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Rayo Vallecano,2.05
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (DE),H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Espanyol,3.65
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Rayo Vallecano,2.0
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Winamax (FR),H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Espanyol,3.9
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Rayo Vallecano,2.0
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Tipico,H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Espanyol,3.98
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Rayo Vallecano,2.13
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Marathon Bet,H2H,Draw,3.22
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Rayo Vallecano,2.08
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betclic (FR),H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Espanyol,4.1
