league,match_date_utc,home_team_fixture,away_team_fixture,status,match_key,sport_key,commence_time,home_team_odds,away_team_odds,bookmaker,market_type,selection_name,decimal_odds
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Espanyol,4.1
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Rayo Vallecano,2.18
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Draw,3.35
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Rayo Vallecano,2.12
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Draw,3.25
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Espanyol,3.7
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Rayo Vallecano,2.12
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Draw,3.25
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Espanyol,3.75
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Rayo Vallecano,2.16
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Draw,3.3
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Espanyol,3.6
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Rayo Vallecano,2.07
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Draw,3.2
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Espanyol,3.75
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Rayo Vallecano,2.15
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Draw,3.35
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Espanyol,3.65
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Rayo Vallecano,2.1
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Draw,3.2
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Espanyol,3.92
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Rayo Vallecano,2.12
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Draw,3.25
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Espanyol,4.1
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Rayo Vallecano,2.1
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED,Rayo Vallecano vs Espanyol,soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Draw,3.22
